words,00s,10s,80s,90s
shout,0,0,1,1
shouting,0,0,1,0
show,0,0,1,0
showing,0,0,0,1
shown,0,0,0,1
shut,0,0,1,1
sick,0,0,0,1
side,0,0,0,1
sighing,0,0,0,1
sight,0,0,4,0
sign,0,0,1,0
silence,0,1,3,0
silently,0,0,1,0
simply,0,0,1,0
sin,0,0,0,1
since,0,0,1,0
sincere,0,1,0,0
sinking,0,0,1,0
sinner,0,1,1,0
sir,0,0,0,1
site,0,0,1,0
six,0,0,0,1
sixteen,0,0,0,1
skin,0,2,0,0
sky,0,2,1,1
slamming,0,0,2,0
slaughter,0,0,1,0
slave,0,0,1,1
sleep,0,1,2,2
sleeping,0,0,0,1
slip,0,1,0,0
slipping,1,0,0,0
slow,0,0,1,0
slowly,0,0,0,1
smashing,0,0,2,0
smell,0,0,1,1
smoke,0,0,1,1
smoldering,0,0,1,0
snow,0,0,0,1
sold,0,1,0,1
soldier,0,0,1,0
solitaire,0,1,0,0
solution,0,1,0,0
somehow,0,0,1,0
someone,0,0,1,1
something,0,0,1,1
somethings,0,0,0,1
son,0,0,2,2
song,0,0,0,2
soon,0,0,4,1
soothing,0,0,0,1
sore,0,0,1,0
sorrow,0,1,1,0
sought,0,0,0,1
soul,0,1,3,2
sound,0,0,2,0
sounding,0,0,1,0
source,0,0,1,0
speak,0,0,0,2
specially,0,0,0,1
speech,0,0,2,0
speeding,0,1,0,0
spike,0,0,1,0
spineless,0,0,1,0
spiral,0,1,0,0
spit,0,1,1,1
spite,0,0,1,0
splatter,1,0,0,0
split,0,0,0,1
spoken,1,0,1,0
spotlight,0,0,0,1
spread,0,0,0,1
spreading,0,0,1,0
stage,0,0,1,1
stain,0,0,0,1
stalking,0,0,1,0
stand,1,0,2,3
star,0,0,0,4
stare,0,0,1,0
start,0,1,3,0
stay,1,1,1,2
steal,0,0,0,1
steamroller,0,0,1,0
steed,0,0,1,0
steel,0,0,0,1
step,0,0,2,0
stepping,0,0,2,0
stick,0,0,1,0
stiffened,0,0,1,0
still,0,1,3,5
stinking,0,0,1,0
stone,0,0,1,3
stop,0,1,3,0
stopped,0,0,0,1
story,0,0,1,0
straight,0,1,0,0
stranger,0,0,2,0
strapped,0,0,1,0
straw,0,0,1,0
stray,0,0,0,1
strike,0,0,0,1
string,0,0,2,1
strip,0,0,0,1
stripe,0,0,1,0
stripped,0,0,0,1
strong,0,0,1,0
struggle,0,0,0,1
strung,0,0,0,1
stumble,0,1,0,0
subdued,0,0,0,1
submission,0,0,1,0
sucked,0,0,1,0
sucker,0,0,0,1
sucking,0,0,1,0
suffer,1,1,2,0
suffocates,0,0,1,0
suffocating,1,0,0,0
summoned,0,0,1,0
sun,1,1,1,2
sunday,0,0,1,0
sunk,0,0,1,0
sunshine,1,0,0,0
supremacy,0,0,1,0
supreme,0,1,0,0
sure,0,0,3,1
surely,0,0,1,0
surrender,0,1,0,1
surveillance,0,0,0,1
suspicion,0,0,1,0
swallow,0,1,0,2
swear,1,0,0,1
sweat,0,0,2,1
sweep,0,0,0,1
sweet,0,0,0,1
sweetness,0,1,0,0
swing,0,0,1,0
switch,0,0,1,0
sword,0,0,1,0
swore,0,0,0,1
system,0,0,1,0
tail,0,0,0,1
take,1,0,10,10
taken,0,0,3,0
taking,0,0,2,2
talk,0,0,0,1
talking,0,0,1,0
talon,0,0,1,0
tape,0,0,1,0
tapped,0,1,0,0
taste,0,0,1,0
taught,0,0,0,1
tear,0,1,2,3
teeth,0,0,1,0
tell,0,1,3,2
telling,0,0,0,1
tend,1,0,0,1
terminate,0,1,1,0
terminating,0,1,0,0
termination,0,0,1,0
terrible,0,0,1,0
test,0,0,1,0
thankless,0,0,0,1
thats,0,0,1,1
thee,0,1,1,2
there,0,0,5,5
theyll,0,0,0,2
theyre,0,0,2,1
theyve,1,0,2,2
thick,1,0,0,0
thing,1,0,8,5
think,0,1,3,1
thirst,0,0,0,1
though,0,0,1,0
thought,0,2,1,3
thousand,0,0,1,0
thrashing,0,0,1,0
threaten,0,0,0,1
three,0,0,1,0
throat,0,0,0,1
throne,0,0,0,1
throughout,0,0,0,1
throwing,0,0,1,0
thrown,0,1,0,0
thunder,0,0,0,1
thy,0,1,0,0
tick,0,0,1,0
tie,0,0,0,1
tied,0,0,3,0
tight,0,0,0,2
til,0,0,1,2
time,1,2,10,7
timeless,0,1,1,0
timely,0,0,0,1
tin,0,0,0,1
tip,0,0,1,0
tired,0,0,0,2
together,0,1,0,0
told,0,0,0,1
toll,0,0,2,0
tongue,0,0,0,1
tonight,0,0,2,2
took,0,0,0,3
torn,0,0,3,0
touch,0,0,0,1
town,0,0,2,0
train,0,0,0,1
trap,0,0,1,0
trapped,0,0,2,0
tread,0,0,0,1
treasure,1,0,0,0
trend,0,0,2,0
trick,0,0,1,0
tricked,0,0,0,1
trip,0,0,0,1
true,0,0,4,2
trust,0,0,1,1
trusting,0,0,0,1
truth,0,1,3,1
try,0,0,4,3
trying,0,0,1,0
tube,0,0,1,0
tuck,0,0,0,1
tunnel,0,0,0,1
turn,0,1,1,4
turned,0,0,2,1
twentyone,0,0,1,0
twentyseven,0,0,0,1
twice,0,0,1,0
twisted,0,1,1,1
twisting,0,1,1,0
two,0,0,1,0
ulrich,0,0,1,0
ultimate,0,0,1,0
underground,0,0,1,0
understand,0,0,0,1
undertaker,0,1,0,0
undying,0,0,1,0
unending,0,0,1,0
unfeeling,0,0,1,0
unfold,0,0,1,0
unforgiven,0,0,0,2
uniinto,0,0,1,0
unknown,0,0,1,1
unspoiled,0,0,1,0
unspoken,0,0,1,1
unto,0,2,2,1
upending,0,0,1,0
upon,0,1,0,3
upset,0,0,1,0
use,0,0,2,0
used,0,0,3,0
utopian,0,1,0,0
vaccine,0,1,0,0
vagabond,0,0,0,1
vain,0,2,1,1
vanity,0,0,1,0
vein,0,0,1,1
vertigo,0,0,1,0
victim,0,0,3,0
view,0,0,0,1
vigilance,0,0,0,1
vine,0,0,0,1
violation,0,0,1,0
violenceseeker,0,0,1,0
violent,0,0,1,0
viral,0,1,0,0
voice,1,0,0,0
vow,0,0,0,1
vulture,0,1,0,0
wait,0,0,2,1
waiting,1,0,0,0
wake,0,0,1,1
wakened,0,0,1,0
waking,0,0,1,1
walk,0,1,0,1
walked,0,0,0,1
wall,0,1,0,1
wander,0,0,0,1
wanderer,0,0,0,1
wandering,0,0,0,2
want,1,0,3,7
war,0,0,1,3
warfare,0,0,1,0
warhead,0,0,0,1
warm,0,0,1,1
warms,0,1,0,1
warmth,1,0,0,0
warrior,0,0,1,0
wartime,0,0,1,0
wash,0,0,0,1
waste,0,0,1,1
watch,0,0,2,1
watched,0,0,0,1
water,1,0,0,0
wave,0,0,0,1
way,0,1,4,6
weak,0,0,1,0
weakening,0,0,1,0
weaker,0,0,1,0
wealth,0,0,1,0
wear,0,1,1,0
weary,0,0,0,1
welcome,0,0,1,1
well,0,1,3,1
went,0,0,0,1
were,0,2,3,1
weve,0,1,0,0
whack,0,0,0,1
whats,0,0,2,0
wheel,0,0,0,1
wheres,0,0,1,1
wherever,0,0,0,1
whiplash,0,0,1,0
whipping,0,0,2,1
whiskey,0,0,0,1
whisper,0,0,1,0
white,0,0,0,2
whiteknuckle,0,0,0,1
who,0,0,1,1
whoa,0,0,1,1
whole,0,0,0,1
whore,0,0,0,1
wicked,0,2,0,2
wield,0,0,1,0
wife,0,0,1,0
wild,0,0,0,1
win,0,0,1,1
wind,0,0,2,0
window,0,0,1,1
wing,0,0,1,0
winning,0,0,1,0
winter,0,0,1,0
wish,0,1,1,3
wished,0,0,0,1
witch,0,0,0,1
witchery,0,0,1,0
witchhunt,0,0,1,0
withered,0,0,1,0
within,0,1,2,1
without,0,0,2,1
witness,0,1,1,0
woah,0,0,0,1
woahwoah,0,0,0,1
wolf,0,0,1,0
woman,0,0,0,2
womb,0,0,1,0
wonder,0,0,0,1
wont,0,1,0,0
word,1,0,5,4
work,0,0,2,1
world,1,1,6,0
worth,0,0,2,0
would,1,0,1,1
wound,0,0,2,1
wretch,0,0,1,0
wretched,0,1,0,0
writhe,0,0,0,1
written,0,0,1,0
wrong,0,0,2,3
yeahah,0,0,0,1
yeahheh,0,0,0,1
yeahyeah,0,0,0,3
year,0,0,2,1
yes,0,0,1,3
yesterday,0,1,1,0
young,0,0,1,2
youth,0,0,1,0
